time,open,high,low,close,volume
1750439400,3372.06,3374.47,3369.76,3370.8,1674
1750439700,3370.81,3371.11,3368.14,3369.25,1300
1750440000,3369.26,3369.26,3365.26,3366.36,1230
1750440300,3366.36,3369.45,3365.98,3367.91,1390
1750440600,3367.94,3368.75,3366.12,3366.83,1266
1750440900,3366.82,3367.29,3365.4,3366.01,789
1750441200,3366.02,3370.5,3365.8,3367.39,1266
1750441500,3367.38,3368.18,3365.22,3368.12,959
1750441800,3368.11,3370.17,3367.1,3369.48,1022
1750442100,3369.53,3370.62,3369.07,3369.29,864
1750442400,3369.29,3371.71,3369.29,3371.26,873
1750442700,3371.26,3371.26,3368.18,3368.86,836
1750443000,3368.85,3369.09,3367.19,3367.53,743
1750443300,3367.53,3368.0,3366.0,3367.2,732
1750443600,3367.19,3368.57,3365.84,3368.24,671
1750443900,3368.24,3369.14,3366.97,3368.6,673
1750444200,3368.6,3368.94,3366.53,3366.79,685
1750444500,3366.79,3368.73,3366.55,3367.86,462
1750444800,3367.86,3367.96,3366.38,3366.5,634
1750445100,3366.46,3368.24,3366.39,3366.77,573
1750445400,3366.76,3368.78,3366.76,3368.58,554
1750445700,3368.58,3371.77,3368.43,3369.85,631
1750446000,3369.85,3370.36,3368.62,3369.51,795
1750446300,3369.49,3370.31,3367.79,3368.65,555
1750446600,3368.64,3369.96,3368.36,3369.63,630
1750446900,3369.57,3370.2,3368.93,3369.38,454
1750447200,3369.38,3370.09,3369.0,3369.85,480
1750447500,3369.87,3370.84,3369.5,3369.55,538
1750447800,3369.51,3370.73,3368.89,3370.73,516
1750448100,3370.73,3371.61,3370.73,3371.43,620
1750448400,3371.37,3373.33,3371.28,3373.11,632
1750448700,3373.11,3373.36,3371.41,3371.41,617
1750449000,3371.42,3371.98,3371.06,3371.18,512
1750449300,3371.19,3371.77,3370.13,3371.48,674
1750449600,3371.44,3371.73,3370.11,3370.75,685
1750449900,3370.75,3371.16,3370.34,3370.67,456
1750450200,3370.62,3371.07,3370.48,3370.8,430
1750450500,3370.8,3371.48,3369.47,3371.48,680
1750450800,3371.46,3371.57,3370.61,3371.17,846
1750451100,3371.12,3371.37,3369.53,3369.82,653
1750451400,3369.85,3369.99,3368.2,3368.22,832
1750451700,3368.22,3369.4,3367.93,3368.92,569
1750452000,3368.91,3369.67,3368.19,3369.48,418
1750452300,3369.47,3370.1,3369.1,3370.01,427
1750452600,3370.01,3370.23,3367.35,3367.53,532
1750452900,3367.53,3367.84,3366.54,3367.3,573
1750453200,3367.3,3367.76,3366.85,3367.47,554
1750453500,3367.47,3367.87,3367.06,3367.06,391
1750453800,3367.06,3367.09,3365.84,3366.64,613
1750454100,3366.64,3366.85,3364.67,3365.62,596
1750454400,3365.6,3366.43,3365.38,3365.5,708
1750454700,3365.5,3366.23,3364.66,3365.93,546
1750455000,3365.89,3366.2,3365.19,3366.15,476
1750455300,3366.19,3366.36,3365.18,3365.62,402
1750455600,3365.61,3365.66,3364.54,3365.66,388
1750455900,3365.66,3365.97,3365.32,3365.54,382
1750456200,3365.54,3366.89,3364.92,3366.76,378
1750456500,3366.76,3367.25,3366.37,3366.53,460
1750456800,3366.58,3367.89,3366.4,3367.68,557
1750457100,3367.7,3370.55,3367.47,3370.05,548
1750457400,3370.04,3370.28,3369.25,3370.17,393
1750457700,3370.17,3370.57,3369.04,3369.5,317
1750458000,3369.5,3370.26,3369.0,3370.06,310
1750458300,3370.06,3370.19,3368.98,3369.37,380
1750458600,3369.37,3369.45,3367.88,3368.15,411
1750458900,3368.15,3368.15,3366.34,3366.76,541
1750459200,3366.76,3366.87,3365.58,3365.62,443
1750459500,3365.63,3365.94,3364.85,3364.95,470
1750459800,3364.96,3365.3,3364.87,3365.23,465
1750460100,3365.23,3365.75,3364.96,3365.49,722
1750460400,3365.46,3365.69,3364.86,3365.45,543
1750460700,3365.45,3365.73,3364.91,3365.63,421
1750461000,3365.63,3366.27,3364.67,3365.6,490
1750461300,3365.6,3366.98,3365.43,3366.98,274
1750461600,3366.98,3368.74,3366.59,3367.64,355
1750461900,3367.64,3369.1,3367.05,3368.12,328
1750462200,3368.12,3369.1,3367.67,3368.73,330
1750462500,3368.82,3368.82,3368.28,3368.64,157
1750462800,3368.64,3368.64,3367.67,3368.36,164
1750463100,3368.26,3369.18,3368.14,3369.07,240
1750463400,3369.01,3369.15,3367.99,3368.7,225
1750463700,3368.7,3368.84,3368.32,3368.72,100
